,tweetids,topics,alltopics,categories,MultimediaShare,Hashtags,PastNews,Sentiment,Discussion,KnownAlready,Factoid,EmergingThreats,ContinuingNews,Irrelevant,Donations,ThirdPartyObservation,Volunteer,CleanUp,Advice,InformationWanted,FirstPartyObservation,cleanedtweets
0,966843468713746432,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Sentiment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#ITMFA Manafort and Gates US Women End of 1 #GunControlNow Dana #RESIST Eric Greitens Ted Cruz…
1,966742939274801152,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'PastNews', 'Discussion', 'KnownAlready']",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,": Anthony Borges, 15 years old. He used his body to hold a door shut protecting 20 students inside as the gunman shot thr…"
2,966665193160835073,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": Another teenaged hero in the Parkland shooting. Anthony Borges, an immigrant from Venezuela. Shot multiple times while lo…"
3,966620813700018177,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Sentiment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#ITMFA US Women #ParklandStudentsSpeak End of 1 #GunControlNow Dana #RESIST CNN Town Hall Listening Sessio…
4,966135462372040704,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Sentiment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#ITMFA #ParklandStrong #GunControlNow Romney #Mueller Steph #RESISTNow Dinesh D'Souza #MarchForOurLives Wes…
5,965839563980652544,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion', 'KnownAlready']",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,": He’s 15. He was shot 5 times. At school. Anthony Borges is said to be recovering, and today he was visit…"
6,965593079297159168,flSchoolShooting2018,flSchoolShooting2018,"['Hashtags', 'PastNews', 'Sentiment']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Borges if the Florida school shooting is a true hero.#hero
7,967486862205079552,flSchoolShooting2018,flSchoolShooting2018,"['MultimediaShare', 'Hashtags', 'PastNews', 'Discussion']",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: I feel bad for the armed deputy w 32 years experience who hid behind a concrete column as FL high school #shooter kille…
8,967443634877427712,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Four ""good guys"" hid behind their cars while kids were being slaughtered. An armed teacher ALREADY INS…"
9,966559153824129024,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"The NRA helps to protect our Constitutional rights, why would someone NOT want their support?! Cruz and his…"
10,965368238010806272,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Why aren’t you blaming poor Nickolous Cruz? You libtards ignore punishing him for the horrific crime and…
11,965251768186818560,flSchoolShooting2018,flSchoolShooting2018,"['PastNews', 'Discussion']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Democrats are more outraged that President Trump called out the FBI for ignoring Nikolas Cruz, who killed 17 kids,…"
